emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
♦️,\u2666\ufe0f,diamond_suit,Diamond Suit,['Diamonds'],"A diamond symbol emoji, which is used in card games for the diamonds suit.
See the glossary for information on the term black in unicode character names.

Diamond Suit was approved as part of Unicode 1.1 in 1993
under the name “Black Diamond Suit”
and added to Emoji 1.0 in 2015.
","[':diamonds:\n(Github, Slack)\n', ':diamond_suit:\n(Emojipedia)\n']",[],"A diamond symbol emoji, which is used in card games for the diamonds suit.","A diamond symbol emoji, which is used in card games for the diamonds suit.
See the glossary for information on the term black in unicode character names.","Diamond Suit was approved as part of Unicode 1.1 in 1993
under the name “Black Diamond Suit”
and added to Emoji 1.0 in 2015."
🈳,\U0001f233,japanese_“vacancy”_button,Japanese “Vacancy” Button,"['Empty and Available', '空']","This 空 character means empty and available in Japanese. This is used in the context of an empty parking space or a vacant hotel room.
CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.

Japanese “Vacancy” Button was approved as part of Unicode 6.0 in 2010
under the name “Squared CJK Unified Ideograph-7a7a”
and added to Emoji 1.0 in 2015.
","[':u7a7a:\n(Github, Slack)\n', ':japanese_vacancy_button:\n(Emojipedia)\n']",[],"This 空 character means empty and available in Japanese. This is used in the context of an empty parking space or a vacant hotel room.
CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.","This 空 character means empty and available in Japanese. This is used in the context of an empty parking space or a vacant hotel room.
CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.","Japanese “Vacancy” Button was approved as part of Unicode 6.0 in 2010
under the name “Squared CJK Unified Ideograph-7a7a”
and added to Emoji 1.0 in 2015."
🌤️,\U0001f324\ufe0f,sun_behind_small_cloud,Sun Behind Small Cloud,[],"A yellow sun partially covered by a small, white cloud. Position of the cloud varies across platforms.
May be used as a weather icon to represent a mostly sunny day.
Not to be confused with ⛅ Sun Behind Cloud or 🌥️ Sun Behind Large Cloud, though their applications may overlap.
See the glossary for the term white in Unicode character names.

Sun Behind Small Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun with Small Cloud”
and added to Emoji 1.0 in 2015.
","[':mostly_sunny:\n(Slack)\n', ':sun_behind_small_cloud:\n(Github, Emojipedia)\n', ':sun_small_cloud:\n(Slack)\n']","['⛅', '🌥️']","May be used as a weather icon to represent a mostly sunny day.
Not to be confused with ⛅ Sun Behind Cloud or 🌥️ Sun Behind Large Cloud, though their applications may overlap.","A yellow sun partially covered by a small, white cloud. Position of the cloud varies across platforms.
May be used as a weather icon to represent a mostly sunny day.
Not to be confused with ⛅ Sun Behind Cloud or 🌥️ Sun Behind Large Cloud, though their applications may overlap.
See the glossary for the term white in Unicode character names.","Sun Behind Small Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun with Small Cloud”
and added to Emoji 1.0 in 2015."
🏌️‍♀️,\U0001f3cc\ufe0f\u200d\u2640\ufe0f,woman_golfing,Woman Golfing,[],"The female version of the 🏌 Golfer emoji.
The Woman Golfing emoji is a ZWJ sequence combining 🏌️ Person Golfing, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.

Woman Golfing was added to Emoji 4.0 in 2016.
","[':golfing_woman:\n(Github)\n', ':woman_golfing:\n(Emojipedia)\n', ':woman-golfing:\n(Slack)\n']","['♀️', '🏌️']",,"The female version of the 🏌 Golfer emoji.
The Woman Golfing emoji is a ZWJ sequence combining 🏌️ Person Golfing, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.",Woman Golfing was added to Emoji 4.0 in 2016.
🥞,\U0001f95e,pancakes,Pancakes,"['Crêpes', 'Hotcakes']","A stack of breakfast pancakes, topped with a pad of butter and maple syrup oozing down its golden-brown sides, onto a plate on some platforms. 
An alternative use for this emoji on TikTok and other platforms: to represent that someone has a flat bottom ('flat as a pancake').

Pancakes was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':pancakes:\n(Github, Slack, Emojipedia)\n']",[],,"A stack of breakfast pancakes, topped with a pad of butter and maple syrup oozing down its golden-brown sides, onto a plate on some platforms. 
An alternative use for this emoji on TikTok and other platforms: to represent that someone has a flat bottom ('flat as a pancake').","Pancakes was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
🇳🇦,\U0001f1f3\U0001f1e6,flag-_namibia,Flag: Namibia,['Namibian Flag'],"The flag for Namibia, which may show as the letters NA on some platforms.
The Flag: Namibia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇦 Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms.

Flag: Namibia was added to Emoji 1.0 in 2015.
","[':flag-na:\n(Slack)\n', ':namibia:\n(Github)\n', ':flag_namibia:\n(Emojipedia)\n']",[],,"The flag for Namibia, which may show as the letters NA on some platforms.
The Flag: Namibia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇦 Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms.",Flag: Namibia was added to Emoji 1.0 in 2015.
😱,\U0001f631,face_screaming_in_fear,Face Screaming in Fear,"['Home Alone', 'Scream', 'Screaming Face']","A yellow face screaming in fear, depicted by wide, white eyes, a long, open mouth, hands pressed on cheeks, and a pale blue forehead, as if it has lost its color. Its expression evokes Edvard Munch’s iconic painting The Scream.
While intended to represent horror and fright, it commonly conveys such feelings as shock, awe, disbelief, and intense excitement, as a screaming fan.
Samsung’s design previously featured a ghost flying from its mouth. 🙀 Weary Cat Face bears a similar expression.

Face Screaming in Fear was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':scream:\n(Github, Slack)\n', ':face_screaming_in_fear:\n(Emojipedia)\n']",['🙀'],,"A yellow face screaming in fear, depicted by wide, white eyes, a long, open mouth, hands pressed on cheeks, and a pale blue forehead, as if it has lost its color. Its expression evokes Edvard Munch’s iconic painting The Scream.
While intended to represent horror and fright, it commonly conveys such feelings as shock, awe, disbelief, and intense excitement, as a screaming fan.
Samsung’s design previously featured a ghost flying from its mouth. 🙀 Weary Cat Face bears a similar expression.","Face Screaming in Fear was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🚈,\U0001f688,light_rail,Light Rail,[],"A form of public transport similar to a tram, but running on a track or network separated from cars and other types of traffic.
Difficult to discern from a train at small sizes.

Light Rail was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':light_rail:\n(Github, Slack, Emojipedia)\n']",[],,"A form of public transport similar to a tram, but running on a track or network separated from cars and other types of traffic.
Difficult to discern from a train at small sizes.","Light Rail was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🤡,\U0001f921,clown_face,Clown Face,[],"A circus or birthday clown displayed with white face makeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). Commonly used as comment on TikTok or other social media platforms to indicate that a person is foolish, idiotic and/or selfish.
May instead describe something that is creepy or scary. Sometimes used as an unflattering alias for Donald Trump.

Clown Face was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':clown_face:\n(Github, Slack, Emojipedia)\n']",[],"A circus or birthday clown displayed with white face makeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). Commonly used as comment on TikTok or other social media platforms to indicate that a person is foolish, idiotic and/or selfish.
May instead describe something that is creepy or scary. Sometimes used as an unflattering alias for Donald Trump.","A circus or birthday clown displayed with white face makeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). Commonly used as comment on TikTok or other social media platforms to indicate that a person is foolish, idiotic and/or selfish.
May instead describe something that is creepy or scary. Sometimes used as an unflattering alias for Donald Trump.","Clown Face was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
◼️,\u25fc\ufe0f,black_medium_square,Black Medium Square,[],"
Black Medium Square was approved as part of Unicode 3.2 in 2002
and added to Emoji 1.0 in 2015.
","[':black_medium_square:\n(Github, Slack, Emojipedia)\n']",[],,,"Black Medium Square was approved as part of Unicode 3.2 in 2002
and added to Emoji 1.0 in 2015."
🤙,\U0001f919,call_me_hand,Call Me Hand,"['Phone Hand', 'Shaka']","A hand with thumb and little (pinky) finger extended, making a traditional phone-like shape. May be used in conjunction with a face to suggest “call me” (please).
Not to be confused with the sign of the horn. Commonly used as a shaka sign, which is a similar gesture at a different orientation.

Call Me Hand was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':call_me_hand:\n(Github, Slack, Emojipedia)\n']",[],"A hand with thumb and little (pinky) finger extended, making a traditional phone-like shape. May be used in conjunction with a face to suggest “call me” (please).
Not to be confused with the sign of the horn. Commonly used as a shaka sign, which is a similar gesture at a different orientation.","A hand with thumb and little (pinky) finger extended, making a traditional phone-like shape. May be used in conjunction with a face to suggest “call me” (please).
Not to be confused with the sign of the horn. Commonly used as a shaka sign, which is a similar gesture at a different orientation.","Call Me Hand was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
⛹️‍♀️,\u26f9\ufe0f\u200d\u2640\ufe0f,woman_bouncing_ball,Woman Bouncing Ball,[],"The female version of the ⛹ Person With Ball emoji.
The Woman Bouncing Ball emoji is a ZWJ sequence combining ⛹️ Person Bouncing Ball, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.

Woman Bouncing Ball was added to Emoji 4.0 in 2016.
","[':basketball_woman:\n(Github)\n', ':bouncing_ball_woman:\n(Github)\n', ':woman_bouncing_ball:\n(Emojipedia)\n', ':woman-bouncing-ball:\n(Slack)\n']","['♀️', '⛹️']",,"The female version of the ⛹ Person With Ball emoji.
The Woman Bouncing Ball emoji is a ZWJ sequence combining ⛹️ Person Bouncing Ball, ‍ Zero Width Joiner and ♀️ Female Sign.
These display as a single emoji on supported platforms.",Woman Bouncing Ball was added to Emoji 4.0 in 2016.
🥂,\U0001f942,clinking_glasses,Clinking Glasses,"['Celebration', 'Champagne Glasses', 'Cheers']","Two flutes of champagne or sparkling wine being clinked together, as done at a celebratory or convivial toast (“Cheers!”). Samsung’s design suggests two glasses of white wine. Some platforms include stylized links to mark the clinking. See also Clinking Beer Mugs—and Bottle With Popping Cork for a refill.

Clinking Glasses was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':clinking_glasses:\n(Github, Slack, Emojipedia)\n']",[],,"Two flutes of champagne or sparkling wine being clinked together, as done at a celebratory or convivial toast (“Cheers!”). Samsung’s design suggests two glasses of white wine. Some platforms include stylized links to mark the clinking. See also Clinking Beer Mugs—and Bottle With Popping Cork for a refill.","Clinking Glasses was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
🍠,\U0001f360,roasted_sweet_potato,Roasted Sweet Potato,"['Goguma', 'Sweet Potato', 'Yam']","A sweet potato depicted with textured purple, orange, or brown skin and sliced in half to show its golden-brown flesh. Sometimes called a yam, though they are unrelated. Not to be confused with the Potato.
Commonly roasted as a snack in East Asia during winter, much as squash and pumpkin are popular in the United States during fall/autumn. Used as an offering to the full moon in Japan during the Moon Viewing harvest festival.

Roasted Sweet Potato was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':sweet_potato:\n(Github, Slack)\n', ':roasted_sweet_potato:\n(Emojipedia)\n']",[],"A sweet potato depicted with textured purple, orange, or brown skin and sliced in half to show its golden-brown flesh. Sometimes called a yam, though they are unrelated. Not to be confused with the Potato.","A sweet potato depicted with textured purple, orange, or brown skin and sliced in half to show its golden-brown flesh. Sometimes called a yam, though they are unrelated. Not to be confused with the Potato.
Commonly roasted as a snack in East Asia during winter, much as squash and pumpkin are popular in the United States during fall/autumn. Used as an offering to the full moon in Japan during the Moon Viewing harvest festival.","Roasted Sweet Potato was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🛐,\U0001f6d0,place_of_worship,Place of Worship,['Religious Building'],"A building used for worship by people of any faith or religion. Examples include a church, mosque, or synagogue. A person is shown on their knees praying, in this symbol.
Multi-faith places of worship are commonly found at airports.

Place of Worship was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015.
","[':place_of_worship:\n(Github, Slack, Emojipedia)\n']",[],"A building used for worship by people of any faith or religion. Examples include a church, mosque, or synagogue. A person is shown on their knees praying, in this symbol.","A building used for worship by people of any faith or religion. Examples include a church, mosque, or synagogue. A person is shown on their knees praying, in this symbol.
Multi-faith places of worship are commonly found at airports.","Place of Worship was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
🍷,\U0001f377,wine_glass,Wine Glass,"['Alcohol', 'Red Wine', 'Wine']","Red wine served in a stemmed glass. Google previously displayed an orange-colored drink that resembled cognac.

Wine Glass was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':wine_glass:\n(Github, Slack, Emojipedia)\n']",[],,Red wine served in a stemmed glass. Google previously displayed an orange-colored drink that resembled cognac.,"Wine Glass was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🍧,\U0001f367,shaved_ice,Shaved Ice,['Snow Cone'],"A mound of shaved ice (snow cone) served in a dessert bowl with a short spoon, flavored with a cherry-red syrup on many platforms. Associated with Hawaiian shave ice or Japanese kakigori.

Shaved Ice was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':shaved_ice:\n(Github, Slack, Emojipedia)\n']",[],,"A mound of shaved ice (snow cone) served in a dessert bowl with a short spoon, flavored with a cherry-red syrup on many platforms. Associated with Hawaiian shave ice or Japanese kakigori.","Shaved Ice was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🦔,\U0001f994,hedgehog,Hedgehog,[],"A hedgehog. A small, spiny mammal sometimes kept as a pet. Generally depicted in full profile on all fours facing left, with a round, brown body covered with spines and a light-brown face and underside.
Sometimes used to represent a porcupine or echidna.
Twitter's design has always been a hedgehog facing forward. Google's design originally featured a hedgehog facing forward, though it was changed to full profile with Android 11.0. Facebook’s design previously featured a hedgehog on its back, rolled up in a ball.

Hedgehog was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
","[':hedgehog:\n(Github, Slack, Emojipedia)\n']",[],,"A hedgehog. A small, spiny mammal sometimes kept as a pet. Generally depicted in full profile on all fours facing left, with a round, brown body covered with spines and a light-brown face and underside.
Sometimes used to represent a porcupine or echidna.
Twitter's design has always been a hedgehog facing forward. Google's design originally featured a hedgehog facing forward, though it was changed to full profile with Android 11.0. Facebook’s design previously featured a hedgehog on its back, rolled up in a ball.","Hedgehog was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
🇵🇰,\U0001f1f5\U0001f1f0,flag-_pakistan,Flag: Pakistan,['Pakistani Flag'],"The flag for Pakistan, which may show as the letters PK on some platforms.
The Flag: Pakistan emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇰 Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms.

Flag: Pakistan was added to Emoji 1.0 in 2015.
","[':flag-pk:\n(Slack)\n', ':pakistan:\n(Github)\n', ':flag_pakistan:\n(Emojipedia)\n']",[],,"The flag for Pakistan, which may show as the letters PK on some platforms.
The Flag: Pakistan emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇰 Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms.",Flag: Pakistan was added to Emoji 1.0 in 2015.
🦖,\U0001f996,t-rex,T-Rex,['Tyrannosaurus Rex'],"A Tyrannosaurus rex, a massive, meat-eating dinosaur with huge jaws, tiny arms, and a long tail. Depicted as a green tyrannosaur standing on its hind lefts facing left, often with a textured back, sharp teeth, and clawed toes.
May be used to represent various dinosaurs, including raptors. See also 🦕 Sauropod.
Google’s T-rex used to look somewhat like a velociraptor, though the design has since changed. Samsung’s T-Rex was previously red, Microsoft's brown, and Facebook’s only a green head with open jaws.

T-Rex was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
","[':t-rex:\n(Github, Slack)\n', ':t_rex:\n(Emojipedia)\n']",['🦕'],,"A Tyrannosaurus rex, a massive, meat-eating dinosaur with huge jaws, tiny arms, and a long tail. Depicted as a green tyrannosaur standing on its hind lefts facing left, often with a textured back, sharp teeth, and clawed toes.
May be used to represent various dinosaurs, including raptors. See also 🦕 Sauropod.
Google’s T-rex used to look somewhat like a velociraptor, though the design has since changed. Samsung’s T-Rex was previously red, Microsoft's brown, and Facebook’s only a green head with open jaws.","T-Rex was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
🍰,\U0001f370,shortcake,Shortcake,"['Cake', 'Piece Of Cake', 'Strawberry Shortcake']","A slice of strawberry shortcake, layered with whipped cream and topped with a whole strawberry. Like the Birthday Cake, may be used to represent birthday celebrations or cake in general.

Shortcake was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':cake:\n(Github, Slack)\n', ':shortcake:\n(Emojipedia)\n']",[],,"A slice of strawberry shortcake, layered with whipped cream and topped with a whole strawberry. Like the Birthday Cake, may be used to represent birthday celebrations or cake in general.","Shortcake was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🦸,\U0001f9b8,superhero,Superhero,[],"A hero which may be displayed as a man,woman or gender-neutral / gender-inclusive depending on the platform. This base emoji does not specify a gender, but is used to create the emojis for Man Superhero and Woman Superhero.
The Supervillain is the nemesis of this emoji.

Superhero was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':superhero:\n(Github, Slack, Emojipedia)\n']",['🚩'],,"A hero which may be displayed as a man,woman or gender-neutral / gender-inclusive depending on the platform. This base emoji does not specify a gender, but is used to create the emojis for Man Superhero and Woman Superhero.
The Supervillain is the nemesis of this emoji.","Superhero was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
🇪🇬,\U0001f1ea\U0001f1ec,flag-_egypt,Flag: Egypt,['Egyptian Flag'],"The flag for Egypt, which may show as the letters EG on some platforms.
The Flag: Egypt emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇬 Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms.

Flag: Egypt was added to Emoji 1.0 in 2015.
","[':egypt:\n(Github)\n', ':flag-eg:\n(Slack)\n', ':flag_egypt:\n(Emojipedia)\n']",[],,"The flag for Egypt, which may show as the letters EG on some platforms.
The Flag: Egypt emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇬 Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms.",Flag: Egypt was added to Emoji 1.0 in 2015.
🇲🇽,\U0001f1f2\U0001f1fd,flag-_mexico,Flag: Mexico,['Mexican Flag'],"The flag for Mexico, which may show as the letters MX on some platforms.
The Flag: Mexico emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.

Flag: Mexico was added to Emoji 1.0 in 2015.
","[':mexico:\n(Github)\n', ':flag-mx:\n(Slack)\n', ':flag_mexico:\n(Emojipedia)\n']",[],,"The flag for Mexico, which may show as the letters MX on some platforms.
The Flag: Mexico emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.",Flag: Mexico was added to Emoji 1.0 in 2015.
👛,\U0001f45b,purse,Purse,['Wallet'],"A small pouch with a clasp, generally used to hold coins. Sometimes called a “coin purse.”
Color varies by platform, though most platforms have a pink, blue, or turquoise bag with a silver or gold (gray or yellow) clasp.
Not to be confused with 👝 Clutch Bag, which can look like a coin person on some platforms, due to lack of relative scale in emoji designs.

Purse was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':purse:\n(Github, Slack, Emojipedia)\n']",['👝'],"Not to be confused with 👝 Clutch Bag, which can look like a coin person on some platforms, due to lack of relative scale in emoji designs.","A small pouch with a clasp, generally used to hold coins. Sometimes called a “coin purse.”
Color varies by platform, though most platforms have a pink, blue, or turquoise bag with a silver or gold (gray or yellow) clasp.
Not to be confused with 👝 Clutch Bag, which can look like a coin person on some platforms, due to lack of relative scale in emoji designs.","Purse was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇲🇨,\U0001f1f2\U0001f1e8,flag-_monaco,Flag: Monaco,['Monégasque Flag'],"The flag for Monaco, which may show as the letters MC on some platforms.
The Flag: Monaco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇨 Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms.

Flag: Monaco was added to Emoji 1.0 in 2015.
","[':monaco:\n(Github)\n', ':flag-mc:\n(Slack)\n', ':flag_monaco:\n(Emojipedia)\n']",[],,"The flag for Monaco, which may show as the letters MC on some platforms.
The Flag: Monaco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇨 Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms.",Flag: Monaco was added to Emoji 1.0 in 2015.
📆,\U0001f4c6,tear-off_calendar,Tear-Off Calendar,"['Day Calendar', 'Desk Calendar']","A single date on a calendar. Generally depicted as a page on a two-ringed, daily desk calendar, as flipped or torn off to change the date. Displays month and day on a white, square page, curled up at the bottom right.
Like 📅 Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
The date shown is July 17. This date was first used by Apple as a reference to when iCal for Mac premiered at MacWorld Expo in 2002. Since 2014 Emojipedia has celebrated World Emoji Day on July 17, because of this emoji.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:
Discontinued:

Tear-Off Calendar was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':calendar:\n(Github, Slack)\n', ':tear_off_calendar:\n(Emojipedia)\n']","['📅', '🗓️']","Like 📅 Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:","A single date on a calendar. Generally depicted as a page on a two-ringed, daily desk calendar, as flipped or torn off to change the date. Displays month and day on a white, square page, curled up at the bottom right.
Like 📅 Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
The date shown is July 17. This date was first used by Apple as a reference to when iCal for Mac premiered at MacWorld Expo in 2002. Since 2014 Emojipedia has celebrated World Emoji Day on July 17, because of this emoji.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:
Discontinued:","Tear-Off Calendar was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🔱,\U0001f531,trident_emblem,Trident Emblem,"['Pitchfork', 'Trident']","A trident is a three-pronged spear, that appears similar to a pitchfork. Often held by Greek or Roman Gods in statues.

Trident Emblem was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':trident:\n(Github, Slack)\n', ':trident_emblem:\n(Emojipedia)\n']",[],,"A trident is a three-pronged spear, that appears similar to a pitchfork. Often held by Greek or Roman Gods in statues.","Trident Emblem was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🍕,\U0001f355,pizza,Pizza,"['Pepperoni Pizza', 'Pizza']","A slice of pepperoni pizza, previously also topped with black olives on Google. WhatsApp adds green pepper, Samsung white onion.

Pizza was approved as part of Unicode 6.0 in 2010
under the name “Slice of Pizza”
and added to Emoji 1.0 in 2015.
","[':pizza:\n(Github, Slack, Emojipedia)\n']",[],,"A slice of pepperoni pizza, previously also topped with black olives on Google. WhatsApp adds green pepper, Samsung white onion.","Pizza was approved as part of Unicode 6.0 in 2010
under the name “Slice of Pizza”
and added to Emoji 1.0 in 2015."
🧄,\U0001f9c4,garlic,Garlic,[],"A single white or light brown bulb of garlic. Can be used to talk about cooking, eating, or vampire protection.

Garlic was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019.
","[':garlic:\n(Github, Slack, Emojipedia)\n']",[],,"A single white or light brown bulb of garlic. Can be used to talk about cooking, eating, or vampire protection.","Garlic was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019."
▶️,\u25b6\ufe0f,play_button,Play Button,"['Play Button', 'Right\xa0Triangle']","A triangle-shaped arrow, pointing right. Commonly used as a symbol for play.
See the glossary for information on the term black in unicode character names.

Play Button was approved as part of Unicode 1.1 in 1993
under the name “Black Right-Pointing Triangle”
and added to Emoji 1.0 in 2015.
","[':arrow_forward:\n(Github, Slack)\n', ':play_button:\n(Emojipedia)\n']",[],"A triangle-shaped arrow, pointing right. Commonly used as a symbol for play.","A triangle-shaped arrow, pointing right. Commonly used as a symbol for play.
See the glossary for information on the term black in unicode character names.","Play Button was approved as part of Unicode 1.1 in 1993
under the name “Black Right-Pointing Triangle”
and added to Emoji 1.0 in 2015."
👆,\U0001f446,backhand_index_pointing_up,Backhand Index Pointing Up,"['Middle Finger', 'Pointing Up']","Index finger pointing upward, showing the back of the hand while doing so.

Backhand Index Pointing Up was approved as part of Unicode 6.0 in 2010
under the name “White Up Pointing Backhand Index”
and added to Emoji 1.0 in 2015.
","[':point_up_2:\n(Github, Slack)\n', ':backhand_index_pointing_up:\n(Emojipedia)\n']",[],,"Index finger pointing upward, showing the back of the hand while doing so.","Backhand Index Pointing Up was approved as part of Unicode 6.0 in 2010
under the name “White Up Pointing Backhand Index”
and added to Emoji 1.0 in 2015."
🛸,\U0001f6f8,flying_saucer,Flying Saucer,['UFO'],"A flying saucer, sometimes referred to as an Unidentified Flying Object (UFO). Previously shown on some platforms with an alien at the controls and/or a beam of light emitting from the base.

Flying Saucer was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
","[':flying_saucer:\n(Github, Slack, Emojipedia)\n']",[],,"A flying saucer, sometimes referred to as an Unidentified Flying Object (UFO). Previously shown on some platforms with an alien at the controls and/or a beam of light emitting from the base.","Flying Saucer was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
🇰🇭,\U0001f1f0\U0001f1ed,flag-_cambodia,Flag: Cambodia,['Cambodian Flag'],"The flag for Cambodia, which may show as the letters KH on some platforms.
The Flag: Cambodia emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.

Flag: Cambodia was added to Emoji 1.0 in 2015.
","[':flag-kh:\n(Slack)\n', ':cambodia:\n(Github)\n', ':flag_cambodia:\n(Emojipedia)\n']",[],,"The flag for Cambodia, which may show as the letters KH on some platforms.
The Flag: Cambodia emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.",Flag: Cambodia was added to Emoji 1.0 in 2015.
🔴,\U0001f534,red_circle,Red Circle,[],"
Red Circle was approved as part of Unicode 6.0 in 2010
under the name “Large Red Circle”
and added to Emoji 1.0 in 2015.
","[':red_circle:\n(Github, Slack, Emojipedia)\n']",[],,,"Red Circle was approved as part of Unicode 6.0 in 2010
under the name “Large Red Circle”
and added to Emoji 1.0 in 2015."
